primitive_id,region_id,food_x,food_y,drag_length,score,max_pos_error,max_tilt_error,preview_max_tilt,min_sigma,max_condition,max_contact,head_drop_pre,head_drop_engage,head_drop_drag_start,head_drop_drag_end,min_head_drop,max_head_drop_error
R01_00072,1,0.091,0.08960000000000001,0.035,14.352969496767827,0.01790957197789705,0.5996475842154522,0.5996475842154522,0.0628735579481369,7.165193306718144,0,0.07195546567694679,0.07788330305511382,0.07595123268943525,0.04829635571735971,0.04829635571735971,0.0
R01_00075,1,0.091,0.08960000000000001,0.035,14.451845819645564,0.017786911690669975,0.6046302447272555,0.6046302447272555,0.06257199144530076,7.151268515756231,0,0.06880646377448835,0.07747061427742433,0.07556141549902794,0.050758703408641664,0.050758703408641664,0.00119353622551166
R01_00064,1,0.091,0.06720000000000001,0.035,14.54677763351557,0.017965174906031015,0.6023597063239172,0.6023597063239172,0.06514815186058336,6.770967174438594,0,0.0708392138373809,0.07814216636340428,0.0762073191288613,0.05111367370186126,0.05111367370186126,0.0
R01_00074,1,0.091,0.08960000000000001,0.035,14.66479090600076,0.0179827084109628,0.6046472974866124,0.6046472974866124,0.06421684094683992,6.938826060765019,0,0.07151591142106684,0.07836946634878204,0.07643322954163441,0.05127842044929262,0.05127842044929262,0.0
R01_00053,1,0.091,0.044800000000000006,0.035,14.716252008551988,0.017523064893654374,0.5880564079074817,0.5880564079074817,0.06733474592462395,6.092126706783893,0,0.06300972139397434,0.07653913447983601,0.0746237425957311,0.04742752983262925,0.04742752983262925,0.006990278606025663
R01_00080,1,0.091,0.08960000000000001,0.05,14.750147291587167,0.017817424844610085,0.5904645616314136,0.5904645616314136,0.06309538451820958,7.078442875844127,0,0.0551318407510793,0.07462646818338346,0.07277767361334385,0.04088971313234405,0.04088971313234405,0.01486815924892071
R01_00062,1,0.091,0.06720000000000001,0.035,14.807947183444947,0.017462048935736177,0.6154052891264231,0.6154052891264231,0.06725240486903675,6.312716444189871,0,0.07174866101660607,0.07840144634844816,0.07648735875780811,0.05143484332683074,0.05143484332683074,0.0
R01_00036,1,0.0728,0.11200000000000002,0.035,14.829613001900386,0.017953319420231872,0.6043866295055287,0.6043866295055287,0.06495598075655333,6.701623433225361,0,0.07330798272117081,0.07835026525327084,0.07641328776769672,0.05125800542855133,0.05125800542855133,0.0
R01_00092,1,0.091,0.11200000000000002,0.035,14.948764759706933,0.01758669095745239,0.6102568016126285,0.6102568016126285,0.05138648161670765,8.288504971260414,0,0.07490102128736786,0.07887525350952913,0.07693585472834878,0.0502780861196655,0.0502780861196655,0.0
R01_00098,1,0.091,0.11200000000000002,0.05,14.991256565550954,0.017939303196208158,0.6151771340570469,0.6151771340570469,0.05978095488514061,7.884962040333364,0,0.07106795159211404,0.07823814916988155,0.07630722353806126,0.04263601335735058,0.04263601335735058,0.0
